"Step","05072025_yolov11n_histEQ - train/dfl_loss","05072025_yolov11n_histEQ - train/dfl_loss__MIN","05072025_yolov11n_histEQ - train/dfl_loss__MAX","05072025_yolov11s_histEQ2 - train/dfl_loss","05072025_yolov11s_histEQ2 - train/dfl_loss__MIN","05072025_yolov11s_histEQ2 - train/dfl_loss__MAX","05072025_yolov11l_histEQ3 - train/dfl_loss","05072025_yolov11l_histEQ3 - train/dfl_loss__MIN","05072025_yolov11l_histEQ3 - train/dfl_loss__MAX","04072025_yolov11m_histEQ - train/dfl_loss","04072025_yolov11m_histEQ - train/dfl_loss__MIN","04072025_yolov11m_histEQ - train/dfl_loss__MAX"
"1","2.5172","2.5172","2.5172","2.95933","2.95933","2.95933","3.31049","3.31049","3.31049","3.12735","3.12735","3.12735"
"2","2.31785","2.31785","2.31785","2.91169","2.91169","2.91169","3.24606","3.24606","3.24606","3.24458","3.24458","3.24458"
"3","2.31332","2.31332","2.31332","2.78805","2.78805","2.78805","3.09627","3.09627","3.09627","3.04733","3.04733","3.04733"
"4","2.16863","2.16863","2.16863","2.63969","2.63969","2.63969","3.02279","3.02279","3.02279","3.02932","3.02932","3.02932"
"5","2.02577","2.02577","2.02577","2.57272","2.57272","2.57272","2.90977","2.90977","2.90977","2.92787","2.92787","2.92787"
"6","1.99343","1.99343","1.99343","2.49769","2.49769","2.49769","2.87564","2.87564","2.87564","2.87198","2.87198","2.87198"
"7","1.91396","1.91396","1.91396","2.48933","2.48933","2.48933","2.78218","2.78218","2.78218","2.7977","2.7977","2.7977"
"8","1.84247","1.84247","1.84247","2.47352","2.47352","2.47352","2.7602","2.7602","2.7602","2.75213","2.75213","2.75213"
"9","1.80666","1.80666","1.80666","2.37384","2.37384","2.37384","2.70053","2.70053","2.70053","2.69597","2.69597","2.69597"
"10","1.80305","1.80305","1.80305","2.33795","2.33795","2.33795","2.67727","2.67727","2.67727","2.65765","2.65765","2.65765"
"11","1.72013","1.72013","1.72013","2.22992","2.22992","2.22992","2.62864","2.62864","2.62864","2.56038","2.56038","2.56038"
"12","1.6933","1.6933","1.6933","2.19624","2.19624","2.19624","2.62005","2.62005","2.62005","2.56871","2.56871","2.56871"
"13","1.69724","1.69724","1.69724","2.25367","2.25367","2.25367","2.57616","2.57616","2.57616","2.50516","2.50516","2.50516"
"14","1.64284","1.64284","1.64284","2.1781","2.1781","2.1781","2.55013","2.55013","2.55013","2.48517","2.48517","2.48517"
"15","1.67138","1.67138","1.67138","2.13983","2.13983","2.13983","2.55567","2.55567","2.55567","2.45923","2.45923","2.45923"
"16","1.69683","1.69683","1.69683","2.15763","2.15763","2.15763","2.48634","2.48634","2.48634","2.419","2.419","2.419"
"17","1.58701","1.58701","1.58701","2.09574","2.09574","2.09574","2.45247","2.45247","2.45247","2.34077","2.34077","2.34077"
"18","1.62541","1.62541","1.62541","2.08342","2.08342","2.08342","2.4554","2.4554","2.4554","2.33528","2.33528","2.33528"
"19","1.5895","1.5895","1.5895","2.05681","2.05681","2.05681","2.40748","2.40748","2.40748","2.31","2.31","2.31"
"20","1.60649","1.60649","1.60649","2.04455","2.04455","2.04455","2.43015","2.43015","2.43015","2.33008","2.33008","2.33008"
"21","1.56078","1.56078","1.56078","1.97789","1.97789","1.97789","2.31348","2.31348","2.31348","2.35255","2.35255","2.35255"
"22","1.59207","1.59207","1.59207","2.01474","2.01474","2.01474","2.31277","2.31277","2.31277","2.26201","2.26201","2.26201"
"23","1.58026","1.58026","1.58026","2.01981","2.01981","2.01981","2.39517","2.39517","2.39517","2.20544","2.20544","2.20544"
"24","1.56215","1.56215","1.56215","1.99195","1.99195","1.99195","2.31867","2.31867","2.31867","2.18871","2.18871","2.18871"
"25","1.55225","1.55225","1.55225","1.94414","1.94414","1.94414","2.29795","2.29795","2.29795","2.17871","2.17871","2.17871"
"26","1.54618","1.54618","1.54618","1.89923","1.89923","1.89923","2.22877","2.22877","2.22877","2.12043","2.12043","2.12043"
"27","1.52517","1.52517","1.52517","1.8712","1.8712","1.8712","2.19291","2.19291","2.19291","2.09555","2.09555","2.09555"
"28","1.53764","1.53764","1.53764","1.90816","1.90816","1.90816","2.22401","2.22401","2.22401","2.1321","2.1321","2.1321"
"29","1.5702","1.5702","1.5702","1.90651","1.90651","1.90651","2.15762","2.15762","2.15762","2.10657","2.10657","2.10657"
"30","1.53045","1.53045","1.53045","1.86215","1.86215","1.86215","2.11876","2.11876","2.11876","2.10417","2.10417","2.10417"
"31","1.51631","1.51631","1.51631","1.91001","1.91001","1.91001","2.12853","2.12853","2.12853","2.04548","2.04548","2.04548"
"32","1.50221","1.50221","1.50221","1.88386","1.88386","1.88386","2.11579","2.11579","2.11579","2.0351","2.0351","2.0351"
"33","1.46914","1.46914","1.46914","1.84745","1.84745","1.84745","2.10735","2.10735","2.10735","1.98329","1.98329","1.98329"
"34","1.45347","1.45347","1.45347","1.80909","1.80909","1.80909","2.06132","2.06132","2.06132","2.03728","2.03728","2.03728"
"35","1.48933","1.48933","1.48933","1.85014","1.85014","1.85014","2.04791","2.04791","2.04791","2.03088","2.03088","2.03088"
"36","1.46083","1.46083","1.46083","1.79887","1.79887","1.79887","2.02279","2.02279","2.02279","2.00891","2.00891","2.00891"
"37","1.47759","1.47759","1.47759","1.84439","1.84439","1.84439","2.03964","2.03964","2.03964","1.89588","1.89588","1.89588"
"38","1.49484","1.49484","1.49484","1.84034","1.84034","1.84034","2.05331","2.05331","2.05331","1.9342","1.9342","1.9342"
"39","1.43898","1.43898","1.43898","1.82148","1.82148","1.82148","2.0201","2.0201","2.0201","1.97062","1.97062","1.97062"
"40","1.46441","1.46441","1.46441","1.81936","1.81936","1.81936","2.04457","2.04457","2.04457","1.89596","1.89596","1.89596"
"41","1.46357","1.46357","1.46357","1.85026","1.85026","1.85026","2.1046","2.1046","2.1046","1.94961","1.94961","1.94961"
"42","1.42245","1.42245","1.42245","1.77634","1.77634","1.77634","1.98944","1.98944","1.98944","1.8902","1.8902","1.8902"
"43","1.41264","1.41264","1.41264","1.78609","1.78609","1.78609","1.96909","1.96909","1.96909","1.89849","1.89849","1.89849"
"44","1.43947","1.43947","1.43947","1.78788","1.78788","1.78788","1.95914","1.95914","1.95914","1.93839","1.93839","1.93839"
"45","1.42828","1.42828","1.42828","1.75802","1.75802","1.75802","1.94096","1.94096","1.94096","1.90022","1.90022","1.90022"
"46","1.4022","1.4022","1.4022","1.70988","1.70988","1.70988","1.95335","1.95335","1.95335","1.91751","1.91751","1.91751"
"47","1.42081","1.42081","1.42081","1.75816","1.75816","1.75816","1.98828","1.98828","1.98828","1.84268","1.84268","1.84268"
"48","1.44473","1.44473","1.44473","1.76198","1.76198","1.76198","1.95766","1.95766","1.95766","1.76998","1.76998","1.76998"
"49","1.42786","1.42786","1.42786","1.74402","1.74402","1.74402","1.93348","1.93348","1.93348","1.83804","1.83804","1.83804"
"50","1.41084","1.41084","1.41084","1.73965","1.73965","1.73965","1.92312","1.92312","1.92312","1.79859","1.79859","1.79859"
"51","1.44308","1.44308","1.44308","1.74412","1.74412","1.74412","1.94874","1.94874","1.94874","1.80683","1.80683","1.80683"
"52","1.41912","1.41912","1.41912","1.68383","1.68383","1.68383","1.95387","1.95387","1.95387","1.82845","1.82845","1.82845"
"53","1.4055","1.4055","1.4055","1.65893","1.65893","1.65893","1.90246","1.90246","1.90246","1.80022","1.80022","1.80022"
"54","1.41268","1.41268","1.41268","1.72323","1.72323","1.72323","1.86591","1.86591","1.86591","1.79372","1.79372","1.79372"
"55","1.41218","1.41218","1.41218","1.6861","1.6861","1.6861","1.84228","1.84228","1.84228","1.77973","1.77973","1.77973"
"56","1.43161","1.43161","1.43161","1.69085","1.69085","1.69085","1.8616","1.8616","1.8616","1.82814","1.82814","1.82814"
"57","1.39569","1.39569","1.39569","1.66662","1.66662","1.66662","1.86376","1.86376","1.86376","1.8013","1.8013","1.8013"
"58","1.3948","1.3948","1.3948","1.67685","1.67685","1.67685","1.86229","1.86229","1.86229","1.77556","1.77556","1.77556"
"59","1.39785","1.39785","1.39785","1.69516","1.69516","1.69516","1.84772","1.84772","1.84772","1.79084","1.79084","1.79084"
"60","1.39821","1.39821","1.39821","1.67934","1.67934","1.67934","1.80692","1.80692","1.80692","1.73311","1.73311","1.73311"
"61","1.39042","1.39042","1.39042","1.64769","1.64769","1.64769","1.80124","1.80124","1.80124","1.75185","1.75185","1.75185"
"62","1.38017","1.38017","1.38017","1.64016","1.64016","1.64016","1.75043","1.75043","1.75043","1.72565","1.72565","1.72565"
"63","1.39133","1.39133","1.39133","1.64689","1.64689","1.64689","1.75111","1.75111","1.75111","1.73397","1.73397","1.73397"
"64","1.40438","1.40438","1.40438","1.66311","1.66311","1.66311","1.78509","1.78509","1.78509","1.73629","1.73629","1.73629"
"65","1.38669","1.38669","1.38669","1.63023","1.63023","1.63023","1.77333","1.77333","1.77333","1.7701","1.7701","1.7701"
"66","1.40586","1.40586","1.40586","1.65345","1.65345","1.65345","1.79773","1.79773","1.79773","1.6988","1.6988","1.6988"
"67","1.398","1.398","1.398","1.65594","1.65594","1.65594","1.79966","1.79966","1.79966","1.71228","1.71228","1.71228"
"68","1.37382","1.37382","1.37382","1.63616","1.63616","1.63616","1.77193","1.77193","1.77193","1.72672","1.72672","1.72672"
"69","1.36678","1.36678","1.36678","1.62986","1.62986","1.62986","1.77329","1.77329","1.77329","1.73829","1.73829","1.73829"
"70","1.39489","1.39489","1.39489","1.66996","1.66996","1.66996","1.77887","1.77887","1.77887","1.66077","1.66077","1.66077"
"71","1.37776","1.37776","1.37776","1.62329","1.62329","1.62329","1.76193","1.76193","1.76193","1.70681","1.70681","1.70681"
"72","1.36748","1.36748","1.36748","1.6442","1.6442","1.6442","1.76948","1.76948","1.76948","1.73658","1.73658","1.73658"
"73","1.3589","1.3589","1.3589","1.60314","1.60314","1.60314","1.78854","1.78854","1.78854","1.68586","1.68586","1.68586"
"74","1.34299","1.34299","1.34299","1.60294","1.60294","1.60294","1.75521","1.75521","1.75521","1.64219","1.64219","1.64219"
"75","1.3342","1.3342","1.3342","1.58321","1.58321","1.58321","1.74024","1.74024","1.74024","1.70455","1.70455","1.70455"
"76","1.35287","1.35287","1.35287","1.59685","1.59685","1.59685","1.73923","1.73923","1.73923","1.68512","1.68512","1.68512"
"77","1.36806","1.36806","1.36806","1.62137","1.62137","1.62137","1.76338","1.76338","1.76338","1.63462","1.63462","1.63462"
"78","1.37898","1.37898","1.37898","1.5886","1.5886","1.5886","1.76589","1.76589","1.76589","1.68838","1.68838","1.68838"
"79","1.39022","1.39022","1.39022","1.61976","1.61976","1.61976","1.75546","1.75546","1.75546","1.6422","1.6422","1.6422"
"80","1.37805","1.37805","1.37805","1.59909","1.59909","1.59909","1.71356","1.71356","1.71356","1.65549","1.65549","1.65549"
"81","1.36925","1.36925","1.36925","1.6184","1.6184","1.6184","1.71191","1.71191","1.71191","1.68827","1.68827","1.68827"
"82","1.35376","1.35376","1.35376","1.59076","1.59076","1.59076","1.67103","1.67103","1.67103","1.60008","1.60008","1.60008"
"83","1.34082","1.34082","1.34082","1.58719","1.58719","1.58719","1.72364","1.72364","1.72364","1.68883","1.68883","1.68883"
"84","1.34949","1.34949","1.34949","1.58007","1.58007","1.58007","1.68292","1.68292","1.68292","1.65567","1.65567","1.65567"
"85","1.37374","1.37374","1.37374","1.57752","1.57752","1.57752","1.68958","1.68958","1.68958","1.67624","1.67624","1.67624"
"86","1.33931","1.33931","1.33931","1.60722","1.60722","1.60722","1.71708","1.71708","1.71708","1.59732","1.59732","1.59732"
"87","1.32942","1.32942","1.32942","1.55886","1.55886","1.55886","1.68945","1.68945","1.68945","1.59416","1.59416","1.59416"
"88","1.33658","1.33658","1.33658","1.55066","1.55066","1.55066","1.69833","1.69833","1.69833","1.64677","1.64677","1.64677"
"89","1.34881","1.34881","1.34881","1.58094","1.58094","1.58094","1.6626","1.6626","1.6626","1.63542","1.63542","1.63542"
"90","1.3544","1.3544","1.3544","1.5701","1.5701","1.5701","1.65506","1.65506","1.65506","1.61223","1.61223","1.61223"
"91","1.33691","1.33691","1.33691","1.56808","1.56808","1.56808","1.63417","1.63417","1.63417","1.67998","1.67998","1.67998"
"92","1.33326","1.33326","1.33326","1.55891","1.55891","1.55891","1.60674","1.60674","1.60674","1.65767","1.65767","1.65767"
"93","1.32474","1.32474","1.32474","1.53019","1.53019","1.53019","1.64405","1.64405","1.64405","1.60016","1.60016","1.60016"
"94","1.31278","1.31278","1.31278","1.53769","1.53769","1.53769","1.59877","1.59877","1.59877","1.64297","1.64297","1.64297"
"95","1.3269","1.3269","1.3269","1.50942","1.50942","1.50942","1.62075","1.62075","1.62075","1.60354","1.60354","1.60354"
"96","1.34264","1.34264","1.34264","1.54322","1.54322","1.54322","1.63854","1.63854","1.63854","1.62941","1.62941","1.62941"
"97","1.3569","1.3569","1.3569","1.5413","1.5413","1.5413","1.65717","1.65717","1.65717","1.5995","1.5995","1.5995"
"98","1.34242","1.34242","1.34242","1.54711","1.54711","1.54711","1.64469","1.64469","1.64469","1.64077","1.64077","1.64077"
"99","1.31213","1.31213","1.31213","1.55465","1.55465","1.55465","1.67804","1.67804","1.67804","1.56292","1.56292","1.56292"
"100","1.31806","1.31806","1.31806","1.5332","1.5332","1.5332","1.60762","1.60762","1.60762","1.59853","1.59853","1.59853"
"101","1.33815","1.33815","1.33815","1.55902","1.55902","1.55902","1.60345","1.60345","1.60345","1.58486","1.58486","1.58486"
"102","1.31889","1.31889","1.31889","1.51479","1.51479","1.51479","1.59733","1.59733","1.59733","1.5726","1.5726","1.5726"
"103","1.31783","1.31783","1.31783","1.53002","1.53002","1.53002","1.60113","1.60113","1.60113","1.58795","1.58795","1.58795"
"104","1.31243","1.31243","1.31243","1.48589","1.48589","1.48589","1.61339","1.61339","1.61339","1.60358","1.60358","1.60358"
"105","1.29146","1.29146","1.29146","1.50569","1.50569","1.50569","1.60533","1.60533","1.60533","1.64238","1.64238","1.64238"
"106","1.32151","1.32151","1.32151","1.51765","1.51765","1.51765","1.5798","1.5798","1.5798","1.6293","1.6293","1.6293"
"107","1.32182","1.32182","1.32182","1.52713","1.52713","1.52713","1.61337","1.61337","1.61337","1.60709","1.60709","1.60709"
"108","1.33202","1.33202","1.33202","1.5105","1.5105","1.5105","1.60768","1.60768","1.60768","1.56275","1.56275","1.56275"
"109","1.36294","1.36294","1.36294","1.53034","1.53034","1.53034","1.64585","1.64585","1.64585","1.59454","1.59454","1.59454"
"110","1.32734","1.32734","1.32734","1.48648","1.48648","1.48648","1.60159","1.60159","1.60159","1.57829","1.57829","1.57829"
"111","1.32632","1.32632","1.32632","1.47718","1.47718","1.47718","1.60778","1.60778","1.60778","1.57725","1.57725","1.57725"
"112","1.31648","1.31648","1.31648","1.51531","1.51531","1.51531","1.58742","1.58742","1.58742","1.59026","1.59026","1.59026"
"113","1.33549","1.33549","1.33549","1.53827","1.53827","1.53827","1.59898","1.59898","1.59898","1.60346","1.60346","1.60346"
"114","1.31385","1.31385","1.31385","1.48787","1.48787","1.48787","1.57598","1.57598","1.57598","1.55385","1.55385","1.55385"
"115","1.32078","1.32078","1.32078","1.51582","1.51582","1.51582","1.59542","1.59542","1.59542","1.58953","1.58953","1.58953"
"116","1.3023","1.3023","1.3023","1.48546","1.48546","1.48546","1.59125","1.59125","1.59125","1.59324","1.59324","1.59324"
"117","1.32174","1.32174","1.32174","1.51042","1.51042","1.51042","1.64687","1.64687","1.64687","1.52271","1.52271","1.52271"
"118","1.32214","1.32214","1.32214","1.48728","1.48728","1.48728","1.60146","1.60146","1.60146","1.53795","1.53795","1.53795"
"119","1.32638","1.32638","1.32638","1.48706","1.48706","1.48706","1.56096","1.56096","1.56096","1.53268","1.53268","1.53268"
"120","1.31911","1.31911","1.31911","1.48098","1.48098","1.48098","1.56514","1.56514","1.56514","1.56894","1.56894","1.56894"
"121","1.30933","1.30933","1.30933","1.46191","1.46191","1.46191","1.59113","1.59113","1.59113","1.56014","1.56014","1.56014"
"122","1.31291","1.31291","1.31291","1.47214","1.47214","1.47214","1.60745","1.60745","1.60745","1.57725","1.57725","1.57725"
"123","1.3037","1.3037","1.3037","1.45127","1.45127","1.45127","1.59433","1.59433","1.59433","1.57379","1.57379","1.57379"
"124","1.29388","1.29388","1.29388","1.446","1.446","1.446","1.57844","1.57844","1.57844","1.52914","1.52914","1.52914"
"125","1.29717","1.29717","1.29717","1.44172","1.44172","1.44172","1.57077","1.57077","1.57077","1.5441","1.5441","1.5441"
"126","1.33157","1.33157","1.33157","1.47054","1.47054","1.47054","1.58304","1.58304","1.58304","1.53294","1.53294","1.53294"
"127","1.31859","1.31859","1.31859","1.46569","1.46569","1.46569","1.60613","1.60613","1.60613","1.53188","1.53188","1.53188"
"128","1.31817","1.31817","1.31817","1.45316","1.45316","1.45316","1.61199","1.61199","1.61199","1.54334","1.54334","1.54334"
"129","1.33546","1.33546","1.33546","1.4845","1.4845","1.4845","1.57942","1.57942","1.57942","1.52332","1.52332","1.52332"
"130","1.3209","1.3209","1.3209","1.48439","1.48439","1.48439","1.58323","1.58323","1.58323","1.53129","1.53129","1.53129"
"131","1.30855","1.30855","1.30855","1.47188","1.47188","1.47188","1.55624","1.55624","1.55624","1.52423","1.52423","1.52423"
"132","1.29675","1.29675","1.29675","1.45321","1.45321","1.45321","1.53369","1.53369","1.53369","1.54145","1.54145","1.54145"
"133","1.30289","1.30289","1.30289","1.45774","1.45774","1.45774","1.54571","1.54571","1.54571","1.492","1.492","1.492"
"134","1.29936","1.29936","1.29936","1.45772","1.45772","1.45772","1.53905","1.53905","1.53905","1.48962","1.48962","1.48962"
"135","1.30073","1.30073","1.30073","1.46556","1.46556","1.46556","1.53365","1.53365","1.53365","1.541","1.541","1.541"
"136","1.30289","1.30289","1.30289","1.47442","1.47442","1.47442","1.55681","1.55681","1.55681","1.51444","1.51444","1.51444"
"137","1.3064","1.3064","1.3064","1.47725","1.47725","1.47725","1.53676","1.53676","1.53676","1.51328","1.51328","1.51328"
"138","1.32656","1.32656","1.32656","1.46118","1.46118","1.46118","1.57139","1.57139","1.57139","1.48481","1.48481","1.48481"
"139","1.31784","1.31784","1.31784","1.47068","1.47068","1.47068","1.56931","1.56931","1.56931","1.50026","1.50026","1.50026"
"140","1.29218","1.29218","1.29218","1.43536","1.43536","1.43536","1.54831","1.54831","1.54831","1.58904","1.58904","1.58904"
"141","1.31001","1.31001","1.31001","1.47338","1.47338","1.47338","1.54597","1.54597","1.54597","1.55936","1.55936","1.55936"
"142","1.29053","1.29053","1.29053","1.42624","1.42624","1.42624","1.521","1.521","1.521","1.51961","1.51961","1.51961"
"143","1.29052","1.29052","1.29052","1.44708","1.44708","1.44708","1.51261","1.51261","1.51261","1.51404","1.51404","1.51404"
"144","1.2951","1.2951","1.2951","1.44814","1.44814","1.44814","1.51116","1.51116","1.51116","1.5066","1.5066","1.5066"
"145","1.28109","1.28109","1.28109","1.45701","1.45701","1.45701","1.54807","1.54807","1.54807","1.51523","1.51523","1.51523"
"146","1.27112","1.27112","1.27112","1.43026","1.43026","1.43026","1.55105","1.55105","1.55105","1.49918","1.49918","1.49918"
"147","1.27411","1.27411","1.27411","1.45031","1.45031","1.45031","1.56143","1.56143","1.56143","1.5292","1.5292","1.5292"
"148","1.282","1.282","1.282","1.46334","1.46334","1.46334","1.52689","1.52689","1.52689","1.49413","1.49413","1.49413"
"149","1.28665","1.28665","1.28665","1.45339","1.45339","1.45339","1.50346","1.50346","1.50346","1.5057","1.5057","1.5057"
"150","1.25742","1.25742","1.25742","1.43563","1.43563","1.43563","1.50137","1.50137","1.50137","1.48829","1.48829","1.48829"
"151","1.25835","1.25835","1.25835","1.40906","1.40906","1.40906","1.51707","1.51707","1.51707","1.50329","1.50329","1.50329"
"152","1.29253","1.29253","1.29253","1.45812","1.45812","1.45812","1.528","1.528","1.528","1.5112","1.5112","1.5112"
"153","1.25681","1.25681","1.25681","1.41671","1.41671","1.41671","1.488","1.488","1.488","1.47506","1.47506","1.47506"
"154","1.30384","1.30384","1.30384","1.46882","1.46882","1.46882","1.53673","1.53673","1.53673","1.4832","1.4832","1.4832"
"155","1.28205","1.28205","1.28205","1.44607","1.44607","1.44607","1.50858","1.50858","1.50858","1.50973","1.50973","1.50973"
"156","1.27814","1.27814","1.27814","1.44145","1.44145","1.44145","1.49108","1.49108","1.49108","1.50998","1.50998","1.50998"
"157","1.26976","1.26976","1.26976","1.43832","1.43832","1.43832","1.5287","1.5287","1.5287","1.45031","1.45031","1.45031"
"158","1.2886","1.2886","1.2886","1.46929","1.46929","1.46929","1.51967","1.51967","1.51967","1.5056","1.5056","1.5056"
"159","1.25309","1.25309","1.25309","1.42461","1.42461","1.42461","1.5059","1.5059","1.5059","1.55764","1.55764","1.55764"
"160","1.25742","1.25742","1.25742","1.4253","1.4253","1.4253","1.50882","1.50882","1.50882","1.49539","1.49539","1.49539"
"161","1.25596","1.25596","1.25596","1.41549","1.41549","1.41549","1.49073","1.49073","1.49073","1.52125","1.52125","1.52125"
